order_id,order_date,store_id,order_status,payment_method
ORD-0000001,2024-01-01,ONLINE-SE,completed,card
ORD-0000002,2024-01-01,ONLINE-SE,completed,card
ORD-0000003,2024-01-01,ONLINE-SE,completed,card
ORD-0000004,2024-01-01,ONLINE-SE,completed,klarna
ORD-0000005,2024-01-01,ONLINE-SE,completed,klarna
ORD-0000006,2024-01-01,ONLINE-SE,completed,klarna
ORD-0000007,2024-01-01,ONLINE-SE,completed,card
ORD-0000008,2024-01-01,ONLINE-SE,completed,card
ORD-0000009,2024-01-01,ONLINE-SE,completed,klarna
ORD-0000010,2024-01-01,ONLINE-SE,completed,klarna
ORD-0000011,2024-01-01,ONLINE-SE,completed,card
ORD-0000012,2024-01-01,ONLINE-SE,completed,klarna
ORD-0000013,2024-01-01,ONLINE-SE,completed,swish
ORD-0000014,2024-01-01,ONLINE-SE,completed,swish
ORD-0000015,2024-01-01,ONLINE-SE,completed,card
ORD-0000016,2024-01-01,ONLINE-SE,completed,card
ORD-0000017,2024-01-01,ONLINE-SE,completed,card
ORD-0000018,2024-01-01,STO-001,completed,klarna
ORD-0000019,2024-01-01,STO-001,completed,card
ORD-0000020,2024-01-01,STO-001,completed,swish
ORD-0000021,2024-01-01,STO-001,completed,card
ORD-0000022,2024-01-01,STO-001,completed,swish
ORD-0000023,2024-01-01,STO-001,completed,card
ORD-0000024,2024-01-01,STO-001,completed,card
ORD-0000025,2024-01-01,STO-001,completed,card
ORD-0000026,2024-01-01,STO-001,completed,card
ORD-0000027,2024-01-01,STO-001,completed,card
ORD-0000028,2024-01-01,STO-001,completed,klarna
ORD-0000029,2024-01-01,STO-002,completed,card
ORD-0000030,2024-01-01,STO-002,completed,card
ORD-0000031,2024-01-01,STO-002,completed,swish
ORD-0000032,2024-01-01,STO-002,completed,gift_card
ORD-0000033,2024-01-01,STO-002,completed,swish
ORD-0000034,2024-01-01,STO-002,completed,card
ORD-0000035,2024-01-01,STO-002,completed,card
ORD-0000036,2024-01-01,STO-002,completed,card
ORD-0000037,2024-01-01,STO-002,completed,card
ORD-0000038,2024-01-01,STO-003,completed,card
ORD-0000039,2024-01-01,STO-003,completed,card
ORD-0000040,2024-01-01,STO-003,completed,swish
ORD-0000041,2024-01-01,STO-003,completed,card
ORD-0000042,2024-01-01,STO-003,completed,gift_card
ORD-0000043,2024-01-01,STO-003,completed,card
ORD-0000044,2024-01-01,STO-003,completed,card
ORD-0000045,2024-01-01,UPP-001,completed,klarna
ORD-0000046,2024-01-01,UPP-001,completed,swish
ORD-0000047,2024-01-01,UPP-001,completed,swish
ORD-0000048,2024-01-01,UPP-001,completed,card
ORD-0000049,2024-01-01,UPP-001,completed,swish
ORD-0000050,2024-01-01,UPP-001,completed,swish
ORD-0000051,2024-01-01,UPP-002,completed,card
ORD-0000052,2024-01-01,UPP-002,completed,card
ORD-0000053,2024-01-01,UPP-002,completed,swish
ORD-0000054,2024-01-01,UPP-002,completed,card
ORD-0000055,2024-01-01,UPP-002,completed,swish
ORD-0000056,2024-01-01,UPP-002,completed,swish
ORD-0000057,2024-01-01,UPP-003,completed,card
ORD-0000058,2024-01-01,UPP-003,completed,gift_card
ORD-0000059,2024-01-01,UPP-003,completed,swish
ORD-0000060,2024-01-01,UPP-003,cancelled,swish
ORD-0000061,2024-01-01,UPP-003,completed,card
ORD-0000062,2024-01-01,GOT-001,completed,card
ORD-0000063,2024-01-01,GOT-001,completed,card
ORD-0000064,2024-01-01,GOT-001,completed,swish
ORD-0000065,2024-01-01,GOT-001,completed,gift_card
ORD-0000066,2024-01-01,GOT-001,completed,swish
ORD-0000067,2024-01-01,GOT-001,completed,card
ORD-0000068,2024-01-01,GOT-001,completed,card
ORD-0000069,2024-01-01,GOT-001,completed,swish
ORD-0000070,2024-01-01,GOT-001,completed,swish
ORD-0000071,2024-01-01,GOT-001,completed,card
ORD-0000072,2024-01-01,GOT-002,completed,swish
ORD-0000073,2024-01-01,GOT-002,completed,card
ORD-0000074,2024-01-01,GOT-002,completed,card
ORD-0000075,2024-01-01,GOT-002,completed,klarna
ORD-0000076,2024-01-01,GOT-002,completed,klarna
ORD-0000077,2024-01-01,GOT-002,completed,card
ORD-0000078,2024-01-01,GOT-002,completed,card
ORD-0000079,2024-01-01,GOT-002,completed,card
ORD-0000080,2024-01-01,GOT-002,completed,swish
ORD-0000081,2024-01-01,GOT-002,completed,swish
ORD-0000082,2024-01-01,GOT-002,completed,card
